iter	MultiClass
0	1.666797718
1	1.576699376
2	1.497793631
3	1.430001055
4	1.371161184
5	1.326359094
6	1.286798892
7	1.247346449
8	1.209484658
9	1.18153883
10	1.15380817
11	1.13189762
12	1.10993944
13	1.090601997
14	1.070398321
15	1.050868509
16	1.035017355
17	1.024598659
18	1.010280823
19	0.998026037
20	0.9872709185
21	0.9781531515
22	0.9690140626
23	0.9608294651
24	0.9506201059
25	0.9419069656
26	0.9344112441
27	0.9282568351
28	0.9237945964
29	0.9175376362
30	0.9089730508
31	0.9021890121
32	0.8971744977
33	0.8922003867
34	0.8865688253
35	0.8839763937
36	0.8793081315
37	0.8757087321
38	0.8716708939
39	0.8679300229
40	0.8638415164
41	0.8597055853
42	0.8571759173
43	0.8530621406
44	0.8505977538
45	0.8472073831
46	0.8426460931
47	0.8390711511
48	0.8362052095
49	0.8321317334
50	0.8296167395
51	0.8254592272
52	0.8224196446
53	0.8203181086
54	0.8174848986
55	0.8151220324
56	0.8132681834
57	0.8114196933
58	0.8086408868
59	0.8063537115
60	0.804490181
61	0.8017369066
62	0.7979137272
63	0.7967313808
64	0.7948325778
65	0.791917226
66	0.7892276599
67	0.7868024326
68	0.7846385663
69	0.7829841763
70	0.7804712587
71	0.7765834863
72	0.773819646
73	0.7721684222
74	0.7691080383
75	0.7675474967
76	0.7656556621
77	0.7639319582
78	0.762661917
79	0.7579591431
80	0.755887455
81	0.7533240011
82	0.751593041
83	0.7483972402
84	0.7457963479
85	0.7444843457
86	0.7413775335
87	0.7399920895
88	0.7372511634
89	0.7351245557
90	0.7332001121
91	0.7302251694
92	0.7290215866
93	0.7274132105
94	0.7242791105
95	0.7224818945
96	0.72077559
97	0.720274653
98	0.7171593095
99	0.7161414102
100	0.7132954236
101	0.7125774353
102	0.7106252239
103	0.7079483626
104	0.7051932958
105	0.7030802402
106	0.7024345874
107	0.700314557
108	0.6981157259
109	0.6945084139
110	0.6924414855
111	0.6897965828
112	0.6870465829
113	0.6859168481
114	0.6844560173
115	0.6831802303
116	0.6817892468
117	0.6794554986
118	0.6764007819
119	0.6738388929
120	0.6731303348
121	0.6708536689
122	0.6690389092
123	0.6661083114
124	0.6632688841
125	0.6613785653
126	0.659283197
127	0.6575303943
128	0.6558763672
129	0.6534831817
130	0.6523529437
131	0.6500008279
132	0.648276689
133	0.6472654084
134	0.645463692
135	0.6431530273
136	0.6407361702
137	0.6381679599
138	0.6368193449
139	0.6359330255
140	0.6336816865
141	0.6320371445
142	0.6294486458
143	0.6273076778
144	0.6263914314
145	0.624022588
146	0.6213856385
147	0.6201131367
148	0.6168415617
149	0.6156241537
150	0.613472563
151	0.6133328641
152	0.6114734787
153	0.6104320048
154	0.6078738467
