iter	Passed	Remaining
0	197	197541
1	206	103009
2	214	71369
3	222	55388
4	227	45246
5	233	38618
6	237	33741
7	243	30136
8	251	27735
9	278	27568
10	285	25641
11	294	24250
12	299	22749
13	305	21490
14	311	20487
15	316	19493
16	321	18610
17	327	17853
18	331	17122
19	336	16491
20	341	15927
21	346	15413
22	351	14922
23	355	14475
24	360	14070
25	365	13695
26	370	13355
27	375	13027
28	380	12726
29	385	12449
30	389	12168
31	394	11927
32	402	11800
33	424	12062
34	432	11935
35	440	11785
36	445	11588
37	449	11390
38	455	11221
39	460	11046
40	464	10875
41	469	10715
42	475	10581
43	480	10429
44	484	10284
45	489	10150
46	494	10025
47	499	9901
48	504	9788
49	509	9679
50	514	9564
51	519	9474
52	524	9369
53	529	9274
54	534	9183
55	539	9095
56	544	9004
57	550	8934
58	557	8885
59	561	8802
60	570	8779
61	574	8698
62	581	8645
63	587	8589
64	593	8543
65	604	8548
66	617	8604
67	624	8554
68	637	8606
69	642	8541
70	660	8641
71	672	8665
72	681	8652
73	688	8613
74	697	8604
75	705	8577
76	718	8607
77	724	8558
78	731	8526
79	736	8465
80	744	8445
81	750	8400
82	758	8374
83	763	8320
84	767	8266
85	775	8246
86	781	8197
87	786	8153
88	791	8104
89	796	8057
90	805	8046
91	813	8025
92	823	8029
93	840	8100
94	848	8082
95	855	8058
96	862	8025
97	867	7985
98	873	7945
99	878	7908
100	884	7873
101	890	7839
102	895	7799
103	901	7768
104	910	7761
105	922	7778
106	927	7739
107	938	7748
108	946	7733
109	955	7728
110	961	7699
111	969	7686
112	977	7673
113	985	7658
114	991	7632
115	1001	7632
116	1007	7601
117	1016	7595
118	1022	7568
119	1029	7547
120	1037	7533
121	1058	7614
122	1074	7662
123	1081	7638
124	1088	7617
125	1098	7621
126	1105	7599
127	1112	7577
128	1117	7545
129	1124	7523
130	1129	7489
131	1134	7458
132	1139	7429
133	1144	7396
134	1149	7363
135	1154	7332
136	1159	7302
137	1164	7271
138	1169	7242
139	1174	7213
140	1178	7182
141	1183	7152
142	1189	7128
143	1194	7097
144	1199	7070
145	1204	7046
146	1210	7024
147	1215	6996
148	1221	6977
149	1226	6951
150	1232	6930
151	1239	6912
152	1243	6886
153	1251	6877
154	1258	6861
155	1264	6841
156	1272	6830
157	1276	6805
158	1284	6794
159	1291	6778
160	1300	6778
161	1327	6866
162	1335	6858
163	1346	6862
164	1354	6856
165	1359	6832
166	1368	6828
167	1373	6804
168	1380	6789
169	1386	6771
170	1391	6746
171	1400	6742
172	1405	6720
173	1412	6707
174	1419	6691
175	1425	6675
176	1432	6661
177	1437	6638
178	1446	6634
179	1451	6612
